"GeneId","ProductDescription","log2FoldChange0h","log2FoldChange1h","log2FoldChange2h","log2FoldChange4h","log2FoldChange6h","log2FoldChange8h","log2FoldChange12h","log2FoldChange18h","log2FoldChange24h","log2FoldChange30h","log2FoldChange44h","log2FoldChangeMvsF","Type"
"PBANKA_0000301.1","fam-b protein",0.0422908958055632,0.0262007370734731,-0.0845133499801818,0.0486354584608475,-0.0954449051593431,-0.106998737147309,0.00847917599755676,-0.938352121723372,-0.00534105437159869,0.15541392486691,3.25796051424033,2.01731152832813,"ambigious"
"PBANKA_0000600.1","PIR protein",0.0510631387537124,0.0660489008485196,-0.0239365044985154,0.14797261436934,-0.503792797459825,0.0734815083585114,-0.474700153209004,1.10450009603825,-3.07887034885591,-2.14530135174635,-1.52564118039713,1.64576495876081,"ambigious"
"PBANKA_0001001.1","PIR protein",0.102855482436968,0.0457131272359221,-0.0500608375306425,0.026419017683794,-0.398646325283742,-0.221743041839985,-0.451745316374731,0.390666046180837,0.252644583271797,-0.943621585824405,-0.501863978704753,1.46521060072017,"ambigious"
"PBANKA_0001101.1","PIR protein",-0.0293644139169518,0.0181388925182683,-0.136005719387484,0.0326607970323333,-0.768544631330485,0.00895984768457859,-1.08840946160697,0.839845967919184,-0.708951666061725,-0.54637373535896,-1.64509458932423,1.41974805196244,"ambigious"
"PBANKA_0001201.1","PIR protein",0.165627933716563,0.0629222085337763,-0.0943330693701961,0.0842047894145653,-0.335338603770568,-0.585675070413136,-1.35014837154386,0.0792808774953852,-3.56817486506853,-2.38986121502919,-1.11414680380821,-0.0467890532453965,"gametocyte"
"PBANKA_0001301.1","PIR protein",-0.0432760493639675,-0.00328364813687872,-0.0550821966912007,-0.0221778938325728,-0.223633256485265,-0.0921366215138941,0.05034768809845,0.842326562364825,-0.778501378938651,-0.996705129747033,0.0898315082016002,2.07160252219992,"ambigious"
"PBANKA_0001401.1","PIR protein",0.0251649443165897,0.0268112078889374,-0.143651178484637,-0.0349357626777798,0.0461824243558719,0.195746562594231,-0.097832681882824,-0.127743163749411,-0.192204472829901,-3.03405601186382,-1.96467299625104,-2.5078974997816,"ambigious"
"PBANKA_0006300.1","PIR protein",-0.0217244941924203,0.0041791651126993,-0.195248436009669,-0.0197251615448775,-0.0598195033594295,0.26691119440123,-0.343997892625457,0.11798866114718,-3.78144313174215,-3.36645490342423,-3.28493394613985,4.42239400724519,"ambigious"
"PBANKA_0007401.1","PIR protein",-0.0238627703223146,0.0132354792862037,0.0208254243543473,0.0273499060787659,0.140817915588873,-0.0032969634510337,-0.117196294388223,0.433933216588358,-0.129922229525037,0.713350599904777,-0.194407172576201,0.773901635886951,"ambigious"
"PBANKA_0007701.1","PIR protein, pseudogene",0.122449271927189,0.01765507738639,-0.0537436840512365,-0.00993776975361737,0.00359613985550912,-0.0763586674218015,-0.139870106448856,0.520655233960693,-3.40324553621896,-1.47581661641276,-1.3846100914925,2.08917616320012,"ambigious"
"PBANKA_0007901.1","PIR protein",-0.0389244853296961,-0.0172139082129192,0.012451899207076,-0.027612464535613,-0.106091087081321,0.0775057673385343,-0.0367571736416997,-0.0913939787962764,-2.90354960058016,-0.645304640216406,0.495778131290086,-0.282492831322342,"ambigious"
"PBANKA_0008101.1","fam-a protein",-0.108491764326391,0.00409397529425889,0.0213597364245473,0.219805221806557,-1.08856020509792,0.310279905174926,-0.307838734326318,-0.69828157626275,-2.48922477313415,-4.85586709312129,-0.445394169597843,3.66290704271983,"asexual"
"PBANKA_0008201.1","PIR protein",-0.0170245712782042,-0.00848379747708564,-0.0581200435515501,-0.0183985936806683,-0.237413110842083,0.106189810458319,-0.0246650596974249,-0.046508173981387,-1.12555390729314,-1.56970383876794,-2.2715965615066,0.433010058143769,"ambigious"
"PBANKA_0100021.1","fam-b protein",-0.174018851238674,0.0529968384185813,-0.117846170381268,-0.0751803687226361,-0.894694787864476,0.0399098720862536,-0.892012970126597,-1.65153181782273,-4.01993858105837,-2.52376243277076,-2.66036516708886,-0.085074767447276,"asexual"
"PBANKA_0100041.1","conserved rodent malaria protein, unknown function",0.0168311898614791,-0.0520198813363867,0.136968818968903,-0.123687626898376,0.143073805017575,-0.129479336724055,0.477481152819605,0.505772146888196,0.741967378699963,0.918257759445452,1.95623480970122,0.235487375188883,"asexual"
"PBANKA_0100061.1","fam-c protein",-0.139003223067796,0.0784509991409989,-0.132838687654616,0.0277903666360752,-0.446178181944137,0.0568642796822644,-0.442185705436107,-0.996171356177992,-2.20742862714562,-0.820037393692873,-0.784799092456147,-2.49923035082048,"asexual"
"PBANKA_0100081.1","PIR protein, pseudogene",0.0264221403753152,0.0235004063233169,-0.133085940376563,0.085928209333098,-0.22583778838189,-0.162533836100761,-0.716672781006693,-0.298920313074672,-0.830005149629077,-0.228377100331648,-0.778826592844812,0.957121019395857,"ambigious"
"PBANKA_0100100.1","fam-a protein",-0.0246454055877791,0.00502315891359604,0.046532682767193,0.0920505595566951,-0.180312116984155,-0.152248085314373,-0.512434701607731,-0.183842412437474,-0.598146839368814,-0.0877998873193435,-1.07191655338802,0.574251613646817,"ambigious"
"PBANKA_0100200.1","Plasmodium exported protein, unknown function",0.037050956076518,-0.00393368563023907,0.0145261547379245,0.225486115550124,-0.0399207946363635,-0.220198707417871,-0.511614282675096,-0.314315337081264,-0.419758753952534,-0.258898530634959,-0.543701689570457,-0.00460607933726528,"ambigious"
"PBANKA_0100300.1","lysophospholipase, putative, pseudogene",-0.0668207740969952,0.0357501559563769,-0.0564654677045551,0.0947901160978556,-0.132241673395418,0.3240133607447,-0.279303147444766,-0.954773069429088,-3.40343971431187,-3.45975308520153,-2.67865520714096,-1.44867391287949,"ambigious"
"PBANKA_0100400.1","reticulocyte binding protein, putative",-0.233450049519543,0.00818910110674143,0.0366969954860156,0.0226331236407106,0.121136445908,-0.22968151338749,0.410221737850652,-3.72007464485275,-5.0753321562962,-3.57678895623844,-3.34141619846232,2.17442758180857,"asexual"
"PBANKA_0100500.1","PIR protein",0.0105862129833592,0.0500204239675517,-0.0141628943133493,0.072507665075166,-0.394802804171695,-0.165901168233514,-0.649651193778334,-0.329042677555941,-0.337988093657978,-0.129705749442428,-0.888513577637144,0.871227599376184,"asexual"
"PBANKA_0100600.1","schizont membrane associated cytoadherence protein",-0.0272888576700589,0.0197849733555134,-0.0308530759002534,0.0312843328279593,-0.335599269300068,-0.126043164630389,-0.669116620576196,-0.400957389552755,-0.708349409422246,-0.119700035344677,-0.786260498776656,3.19429335488184,"asexual"
"PBANKA_0100700.1","Plasmodium exported protein, unknown function",-0.0591838539301633,0.056283292957537,-0.0529007438186631,0.0107374108753239,-0.405977466431544,-0.108126477132543,-0.522588596646175,-0.963470372142738,-2.90744601164945,-2.56535980488183,-2.24053640037449,0.989782379831789,"asexual"
"PBANKA_0100800.1","conserved Plasmodium protein, unknown function",0.0402785581722781,0.00544610167725393,0.198131439545199,-0.0353287646029709,0.281403819108251,1.03320396386955,1.25558018618913,3.77717604456611,4.59289370257376,3.42770322464836,3.41647539530007,0.174263973001105,"asexual"
"PBANKA_0100900.1","ATP-dependent RNA helicase, putative",0.121429824455698,0.0649276617766542,0.154582994380833,-0.0883918405693824,-0.214928729826722,0.199555869394705,0.479906595879265,-0.0738856598482753,-1.1844915453687,-1.69645168514287,-1.61749753530941,0.445950473304588,"asexual"
"PBANKA_0101000.1","MYND finger protein, putative",0.125821077315026,-0.0131235579110267,-0.0495395038842055,0.120840650383574,-0.123778568801516,-0.293863885612168,-0.65805683036934,-0.90902317805306,-2.31228099388974,-2.76671002539159,-2.04968836285677,1.46028466961108,"ambigious"
"PBANKA_0101100.1","liver merozoite formation protein",-0.199411948241253,-0.0544005684347785,0.0527028861964727,0.0880528358842693,0.11423024864216,0.0950701591809047,-0.221046407709217,0.341221255686931,0.990947860538516,1.99374916955832,0.988363443470579,-2.14916032369223,"ambigious"
"PBANKA_0101200.1","elongation factor G, putative",-0.0487538116511311,0.000323785322001035,-0.0736522605093773,-0.0965099194332664,-0.237675883018144,-0.404934197382204,-0.361047580360937,-1.46991101937331,-3.14927992436014,-3.17643520177348,-2.07818506094975,-0.319138323656898,"asexual"
"PBANKA_0101300.1","geranylgeranyltransferase, putative",0.0587072194355293,-0.0201838868331641,0.038538151037883,0.280191570892085,-0.228614644653581,-0.32691222521545,-0.606347779746001,-0.828316976537863,-1.66413197738658,-1.42210561938323,-1.66808114231643,0.78240531393482,"asexual"
"PBANKA_0101400.1","conserved Plasmodium protein, unknown function",0.0707806345860527,-0.00570339252653461,0.0170220101320717,-0.133956794200877,-0.00773757983063266,0.0656226843022085,0.13258773510366,-0.176068155044049,-0.157442863771228,-0.0746218328761183,-0.473217339592831,-0.717001699674641,"ambigious"
"PBANKA_0101500.1","conserved Plasmodium protein, unknown function",-0.14866671051097,0.0386487113721763,0.000612042463607306,0.0737400069593453,-0.100308362953849,0.120702473838654,0.301636488233301,1.42888713899181,3.12940947050738,3.10692773116295,4.62081666698554,-5.56195976154075,"ambigious"
"PBANKA_0101600.1","conserved Plasmodium protein, unknown function",-0.134271431860619,0.0899876492023027,0.0349627603806213,-0.0393015995277762,-0.0414393322301075,0.178810533451808,0.370669907189732,-0.182075045456786,-0.962868153200037,-0.964133820761631,-1.1262864047414,0.0991410959564242,"asexual"
"PBANKA_0101700.1","conserved Plasmodium protein, unknown function",0.0552196198305537,-0.00206163728264498,-0.0595839805201771,-0.0270150416685959,-0.108399531097034,-0.071997859662785,-0.0423125566690103,0.248637767431544,1.33817177428405,1.08207709626847,0.439043859880208,2.63449878429991,"asexual"
"PBANKA_0101800.1","conserved Plasmodium protein, unknown function",0.0772459584904365,0.0857842890517045,-0.0328668254774628,-0.0170039831684824,-0.353253872209696,0.0118041601489044,-0.0775723319747537,1.03307708262205,2.14020478788681,2.18116242801052,2.76039021753014,-2.28001424179293,"ambigious"
"PBANKA_0101900.1","RNA-binding protein, putative",-0.0838320372540181,-0.035301409675508,0.0374052096202224,-0.028533363560978,0.0130554214954497,-0.278983684821431,-0.00561296675424111,-0.63027975738221,-0.31633486782688,0.652506525424175,-0.0347901824830838,-0.309622791198273,"asexual"
"PBANKA_0102000.1","mitochondrial chaperone BCS1, putative",-0.132390652412412,-0.0135751146293409,0.119176303016509,0.0809067572616784,0.209935543744378,-0.081329976808705,0.16444771035368,-0.810145292995223,-1.78113622814729,-1.21228147061881,-1.44187763185593,0.7510693952159,"ambigious"
