"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ProductDescription"
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA,"fam-c protein, pseudogene"
"PBANKA_0000301.1",1.68647854584233,0.00847917599755676,0.423113499924644,0.0200399561797647,0.984011498535443,0.993509297033272,"fam-b protein"
"PBANKA_0000401.1",0.385085330471683,-0.0193472179240888,0.308843423727074,-0.0626440987171093,0.950049912656733,NA,"tryptophan-rich antigen, putative, pseudogene"
"PBANKA_0000600.1",8.03359885833014,-0.474700153209004,0.620660857081162,-0.764830177049378,0.44437267570776,0.740789505268629,"PIR protein"
"PBANKA_0000701.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0000801.1",0.286241376412921,0.0395661649176356,0.305257887504483,0.129615536689628,0.896870610445768,NA,"PIR protein"
"PBANKA_0000901.1",0.974642823430468,0.160009531973329,0.324326368850787,0.493359613466843,0.62175851342456,NA,"fam-a protein"
"PBANKA_0001001.1",50.6041740844112,-0.451745316374731,0.551033665476075,-0.819814368300779,0.412321938792685,0.717561703618262,"PIR protein"
"PBANKA_0001101.1",11.0909796598424,-1.08840946160697,0.632457458605076,-1.72092122054743,0.0852651202964472,0.326556955765417,"PIR protein"
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA,"fam-a protein, pseudogene"
"PBANKA_0001201.1",37.326859509647,-1.35014837154386,0.582447944051298,-2.31805843824036,0.0204461452905996,0.163706371160144,"PIR protein"
"PBANKA_0001301.1",0.994897331194096,0.05034768809845,0.351720839556608,0.143146730122446,0.886174299631262,NA,"PIR protein"
"PBANKA_0001401.1",3.084189701854,-0.097832681882824,0.526261628922652,-0.185901225751732,0.852522220947706,0.956728325861326,"PIR protein"
"PBANKA_0001501.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0001601.1",0,NA,NA,NA,NA,NA,"fam-a protein"
"PBANKA_0006300.1",3.49270930772,-0.343997892625457,0.515098539547616,-0.667829291318845,0.504242566798522,0.7802163105995,"PIR protein"
"PBANKA_0006401.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006501.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006600.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
"PBANKA_0006701.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
