"","current_version_ID","gene","Relative.Growth.Rate","variance","cloneid","experiments","timesAnalysed","normd7toinputA","normd8toinputA","normd6toinputA","normd6toinputB","normd6toinputC","left_arm_length","right_arm_length","lower","upper","gene_name","gene_product","PfID","csome","start","end","strand","Confidence","z1","p1","f1","call1","z0","p0","f0","call0","phenotype","type"
"1","","PBANKA_101935",1.05786520314704,0.0055916309731158,"PbGEM-333995","PbSTM31",1,0.998109834382601,1.07449192862159,0.865629283095197,2.08489435931093,0.613457555711115,5294,1001,0.908310785317065,1.20741962097702,"","","#N/A",NA,NA,NA,NA,5.18648426816027,-0.773834755089976,0.439028516829362,0.56093135881193,FALSE,-12.8095875340307,7.24513698257697e-38,3.26810211203337e-37,TRUE,"Dispensable","normal"
"2","PBANKA_0001601;PBANKA_1300011.1;PBANKA_0007501;PBANKA_0600021.1;PBANKA_0008101.1","PBANKA_020020",0.973765973835087,0.00562218006288659,"PbGEM-533227","PbSTM90",1,0.110319946619709,NA,0.118414939717933,0.22500630606091,0.0721113892141729,1001,1001,0.823803577710104,1.12372836996007,"","fam-a protein;","#N/A",NA,NA,NA,NA,5.18103577874911,0.349874726502082,0.726432715051268,0.815535746558449,FALSE,-11.6531343378491,1.10585754574677e-31,4.20459734538463e-31,TRUE,"Dispensable","normal"
"3","PBANKA_0007401;PBANKA_0600011.1;PBANKA_13000710;PBANKA_0008201.1","PBANKA_020010",0.989492161139047,0.00259825041723961,"PbGEM-327875","PbSTM27,PbSTM49",2,8.00628309983716,7.19152388918556,7.46320927194239,8.70535976581312,4.01586997583038,1001,7195,0.887546088782342,1.09143823349575,"","BIR protein;PIR protein;","#N/A",NA,NA,NA,NA,5.9529169769109,0.206145045474373,0.836677613135472,0.897663065755321,FALSE,-17.4502487555725,1.7136843668553e-68,1.60347343917278e-67,TRUE,"Dispensable","normal"
"4","PBANKA_0100100","PBANKA_010010",1.03265797907781,0.00365565038444069,"PbGEM-327491","PbSTM26",1,1.16942076388108,1.18094211095396,1.07136806287446,2.24374502241472,1.21690938097415,1001,4362,0.911734029680836,1.15358192847479,"","fam-a protein","#N/A",1,26371,27916,"forward",5.61148125785108,-0.540140794948766,0.589099938857048,0.701070707377395,FALSE,-15.4255295783637,5.51235451800136e-54,3.81170228621138e-53,TRUE,"Dispensable","normal"
"5","PBANKA_0100800","PBANKA_010080",1.00063597633336,0.0032222529980274,"PbGEM-266060","PbSTM23",1,0.668522915080313,0.689263255373789,0.661381233195498,1.27469578200674,0.570878162942463,3695,1174,0.88710619172989,1.11416576093682,"","conserved Plasmodium protein, unknown function","PF3D7_0602000",1,47559,51707,"reverse",5.73767447526554,-0.0112036913586779,0.991060934650571,0.99454836329946,FALSE,-15.8660739026163,5.44198747346301e-57,4.05250960671787e-56,TRUE,"Dispensable","normal"
"6","PBANKA_0100900","PBANKA_010090",0.225549511746967,0.0571403255878311,"PbGEM-226645","met10,met5,PbSTM58",3,0.00429463364750399,0.00135233992156337,NA,NA,NA,401,3657,-0.252531341615018,0.703630365108953,"","ATP-dependent RNA helicase, putative","PF3D7_0602100",1,56253,60273,"forward",2.8622451841238,3.23983059688294,0.00119600731869385,0.00221675288744655,TRUE,-0.525222923545552,0.299714115509704,0.363459828172892,FALSE,"Essential","shortarm"
"7","PBANKA_0101100","PBANKA_010110",1.00335600798483,0.00395876182012411,"PbGEM-266100","PbSTM89",1,0.713140165283696,NA,0.702536685100534,1.28292303766466,0.587722671486773,1042,4919,0.877518623712525,1.12919339225714,"PALM","liver merozoite formation protein","PF3D7_0602300",1,63665,64618,"forward",5.53182397429356,-0.0533388071317606,0.957461960574959,0.976506178893182,FALSE,-14.3575140759443,4.77975141900807e-47,2.81089586954283e-46,TRUE,"Dispensable","normal"
"8","PBANKA_0101200","PBANKA_010120",0.10336614245355,0.00814498758652259,"PbGEM-226669","met10,met4,PbSTM59",3,0.000219603705132396,0.0005944886223111,NA,NA,NA,2796,1264,-0.0771330274783093,0.28386531238541,"EF-G","elongation factor G, putative","PF3D7_0602400",1,65221,68380,"reverse",4.81035256099036,9.93504688010409,2.9303808048583e-23,8.82268957634969e-23,TRUE,-0.0372981488482313,0.485123640736273,0.492162919682869,FALSE,"Essential","normal"
"9","PBANKA_0101300","PBANKA_010130",0.1,0.0894201450102541,"PbGEM-081231","met12,met2,met9",3,NA,0.000384439226522025,NA,NA,NA,5190,1207,-0.130737158944427,1.06539089446961,"","geranylgeranyltransferase, putative","PF3D7_0602500",1,69076,70230,"forward",1,1.78132476942423,0.0748594103119859,0.116814095322547,FALSE,-1.22838643141645,0.109650969485709,0.162539157947897,FALSE,"Essential","extra"
"10","PBANKA_0101500","PBANKA_010150",0.999391164571114,0.00289272239845899,"PbGEM-226693","PbSTM23",1,0.718162253196153,0.639245225634041,0.652330777126802,1.25725262275611,0.563066166661096,1459,3628,0.891823094988007,1.10695923415422,"","conserved Plasmodium protein, unknown function","PF3D7_0602700",1,77684,79087,"reverse",5.84555721388018,0.0113200028827528,0.99096813736621,0.99454836329946,FALSE,-16.7222702435178,4.51080315342929e-63,3.71035671149723e-62,TRUE,"Dispensable","normal"
